WBGeneID,SYMBOL,elt2_detected_in_L1,dineen_set,cluster.description,bound_class
WBGene00009898,dod-23,Indirect,SET3,Not_Bound,NA
WBGene00009902,drd-1,Direct,SET3,Larval,ClassC
WBGene00009902,drd-1,Direct,SET3,Increasing,ClassC
WBGene00009903,F49E12.10,Indirect,SET4,Increasing,NA
WBGene00009903,F49E12.10,Indirect,SET4,Increasing,NA
WBGene00009905,clec-240,Indirect,SET3,Not_Bound,NA
WBGene00009908,F49H6.5,Direct,SET6,Increasing,ClassA
WBGene00009914,F49H6.13,Direct,SET3,Larval,ClassC
WBGene00009918,gcsh-2,Indirect,SET6,Not_Bound,NA
WBGene00009937,lsl-1,Indirect,SET2,Not_Bound,NA
